F,Alessia,3
F,Katarina,3
F,Miguela,3
F,Ilana,3
F,Adelaide,3
F,Valeria,3
F,Terezinha,3
F,Pureza,3
F,Yohanna,3
F,Cleia,3
F,Naíma,3
F,Lucia,3
F,Rayane,3
F,Alia,3
F,Tiana,3
F,Emely,3
F,Joanna,3
F,Miranda,3
F,Zora,3
F,Bibiana,3
F,Ekaterina,3
F,Noémi,3
F,Sasha,3
F,Stephanie,3
F,Martha,3
F,Susete,3
F,Simara,3
F,Kavya,3
F,Aliyah,3
F,Michelle,3
F,Francesca,3
F,Andreína,3
F,Simona,3
F,Léa,3
F,Wendy,3
F,Cindy,3
F,Lira,3
F,Neide,3
F,Suriel,3
F,Alexis,3
F,Sheila,3
F,Haniya,3
F,Fábia,3
F,Stefany,3
F,Nancy,3
F,Ilda,3
F,Aliza,3
F,Liah,3
F,Raíssa,3
F,Léana,3
F,Daina,3
F,Domingas,3
F,Fatou,3
F,Alisha,3
F,Sarai,3
F,Claúdia,3
F,Aya,3
F,Felícia,3
F,Cândida,3
F,Simaura,3
F,Dulce,3
F,Katerina,3
F,Alda,3
F,Mirela,3
F,Mila,3
F,Anastasia,3
F,Ioana,3
F,Damaris,3
F,Ruby,3
F,Gisele,3
F,Fatima,3
F,Hanna,3
F,Zaira,3
F,Wamy,3
F,Selena,3
F,Ayesha,3
F,Aissatou,3
F,Jussara,3
F,Elizabeth,3
F,Tamar,3
F,Aida,3
F,Célia,3
F,Alya,3
F,Ami,2
F,Ellie,2
F,Sienna,2
F,Thays,2
F,Alba,2
F,Magali,2
F,Melody,2
F,Luiana,2
F,Maitê,2
F,Hiba,2
F,Yilin,2
F,Yuna,2
F,Andra,2
F,Ada,2
F,Yanira,2
F,Orlanda,2
F,Lilly,2
F,Miruna,2
F,Nicolly,2
F,Kyesse,2
F,Rosie,2
F,Juliette,2
F,Kieza,2
F,Ágata,2
F,Quirina,2
F,Daiane,2
F,Stefanny,2
F,Yu,2
F,Layane,2
F,Gabrielle,2
F,Lorenna,2
F,Jenny,2
F,Asmaa,2
F,Teodora,2
F,Hibah,2
F,Magnólia,2
F,Grace,2
F,Mária,2
F,Eloah,2
F,Jady,2
F,Ivone,2
F,Fiona,2
F,Harper,2
F,Eloisa,2
F,Edmara,2
F,Cintya,2
F,Elisabeth,2
F,Salimatu,2
F,Emilie,2
F,Aldara,2
F,Marwa,2
F,Elyane,2
F,Josiany,2
